Locus Tag	Name	EEP	MEP	LEP	ESP	LSP	25C	Cold shock (15C)	pH3 shock	pH5.8 shock	NaCl shock	Bile shock	LowFe2+ shock	Anaerobic shock	Anaerobic growth	Aerobic shock	InSPI2	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)	NonSPI2	Temp(10C)	Temp(20C)	RNA pool
SL1344_0001	thrL	964	1272.2	1179.4	703.2	178.2	1020.9	2726.4	2839.1	1483.5	3222.1	3270.9	2037.3	3277.7	5142.3	2344.2	4403.4	2046	2528	6979.2	6312.9	5343.7	2345.9	2652.3
SL1344_0002	thrA	28.7	11.3	11.5	11.8	2	7.8	14.2	9.5	11	34.6	17.5	18.1	13.2	11.9	20.1	59.5	15.7	20.9	350	244.7	21.8	12.2	43.8
SL1344_0003	thrB	38.8	30	27.7	30.9	1.3	19.1	19	17.2	28.9	47.6	49	35.6	27.2	38.7	47.4	149.7	128.6	47.6	283.5	307	39	23.4	68.8
SL1344_0004	thrC	44.4	33.7	31.1	36.7	3	22.1	42.4	24.4	30.5	66.5	41.2	41.4	34.4	41.6	53.4	165.6	134.2	58.4	209.2	283.1	43.7	28.9	71.7
SL1344_0005	yaaA	43.8	60.7	42	37.6	2.8	25.1	43.9	19.5	37.1	62.3	87.1	59.5	50.7	44.8	41.6	43.7	65.2	357.6	36.2	40.9	68	44.2	71.5
SL1344_0006	yaaJ	25.9	26.6	20	12.1	4.4	20.7	29.6	13.7	22.7	31.6	24.8	25.2	20.8	11.8	13.1	19.3	47.7	27	16.7	12.7	24.6	19.7	22.7
SL1344_0007	talB	284.1	469.3	367.8	198.6	25.6	212.3	595.7	139.5	274.8	253.6	595.1	575.4	463.6	448.7	404.7	243.9	184.9	74.5	157	192	524.1	416.3	364.3
SL1344_0008	mog	81.4	63.2	58.6	51	23.1	65.5	128.4	128.5	40.5	63.1	110	56.2	72	35.6	30.7	15.7	25.9	31	20.1	18.9	67	54.5	52.7
SL1344_0009	yaaH	270.2	59.6	17.5	6	2.5	80.3	81.5	42.7	62.5	14.7	22.6	15.7	10.1	6.7	8	5.3	4.7	2.9	2.8	14.3	10.2	5.4	30.7
SL1344_0010	htgA	2.6	2.3	2.7	1.6	0.7	2.2	4.4	3.2	3	3.8	1.6	2.4	1.8	1.7	2.1	2.7	4.4	1.7	3.2	2.4	3	2.6	3.5
SL1344_0011	yaaI	8.3	7.4	7	3.2	1.2	7.6	6.1	5.7	8.7	14.7	5.5	10.4	12.3	7.1	4.8	4	6.6	3.8	7.7	5.9	11.2	6.5	7.6
SL1344_0012	dnaK	322.3	783.5	104.1	95.9	8.2	138.3	1202.6	63.5	306.8	1100.5	624.1	1212.2	157.9	86.4	373.5	334.8	156.6	154.8	274.7	265.5	801.6	137.8	449.9
tpke11	tpke11	107.8	345.9	52.8	70	9.3	73.9	341.5	36.6	159.2	559.3	276.8	485.6	112.5	51	160.1	166.4	66.2	106.8	148.7	156.8	285	45.2	208
SL1344_0013	dnaJ	163.9	308.8	63.7	52.6	7.6	85.1	435	48.8	147.9	303.7	269.7	421.1	74.1	45.8	150.9	121.1	71.1	51.1	157.9	122.2	374.2	65.2	170.4
STnc890		62.1	436.9	88.4	248.3	126.4	93.8	382.3	143.2	200.8	844	436.8	490.7	492.8	141.7	207.6	275.5	374.1	106.4	1571.9	223.2	2873.1	173.9	409.2
SL1344_0014		25	19.7	9.4	5.5	1.4	11.9	52.9	11.2	18.7	17.6	16.3	28.1	9.8	2.6	10	12.9	5.4	0.8	7.4	10.4	27.3	15.8	16.4
SL1344_0015		10.6	6.4	5.1	6.5	7.5	4.5	19.2	6.6	9.4	15.3	5.7	10.8	9.9	5.7	5	5.7	11.5	8.9	7.8	2.8	16.3	5.8	7.9
SL1344_0016		2.9	1.7	1.6	0.7	1.1	1	0.4	0.9	1	7.3	1.5	3.2	0.5	0.2	1.4	1.2	0.9	0.3	1.1	0.6	3.7	2.2	0.9
STnc3200		12.5	14	25.9	41.1	26.6	14.3	8.5	26.7	22.1	17.4	14.3	27	110.7	45.6	22	35.3	32.2	27.8	79.2	23.7	54	54.1	43.9
STnc3210		8.8	10.2	39.2	12.8	61.6	8	19.1	3.8	20.2	90.1	13.4	16.6	9.8	13.6	41	67.3	378.5	6.3	86.3	19.6	70.6	64	57
SL1344_0017		4.1	0.8	0.9	0.9	2.8	1.3	0.9	1.1	1.5	16.1	1	4.3	1.3	0.6	1	0.6	1.1	1.8	1.6	1.1	4	1.2	2.7
SL1344_0018	chiA	3.8	5.2	5.7	4	5.4	2.3	5	1.3	3.1	8.2	3.4	3.5	3.9	3.8	8.5	2.7	4.4	2.1	5.7	4.8	6.8	5.3	4.7
SL1344_0019		2.4	1.7	2.9	1.9	0.9	1.4	3.1	1.5	1.1	3.1	2.4	1.9	2.7	2.5	3.1	1.9	3.8	0.9	2.6	2.2	3.6	2.5	2.3
